"","season","episode","andy","angela","darryl","dwight","jim","kelly","kevin","michael","oscar","pam","phyllis","ryan","toby","erin","jan","ken_kwapis","greg_daniels","b_j_novak","paul_lieberstein","mindy_kaling","paul_feig","gene_stupnitsky","lee_eisenberg","jennifer_celotta","randall_einhorn","brent_forrester","jeffrey_blitz","justin_spitzer","imdb_rating"
"81",5,27,16,17,0,28,17,11,7,84,5,19,25,2,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.7
"82",5,28,12,3,0,41,24,0,5,55,2,25,4,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8.9
"83",6,1,38,5,0,20,42,9,14,95,10,27,7,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.7
"84",6,2,7,3,15,32,19,3,1,71,7,24,2,5,26,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2
"85",6,3,3,5,0,29,91,4,14,86,12,18,13,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"86",6,4,33,12,0,84,56,3,30,129,9,70,3,3,4,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.3
"87",6,4,33,12,0,84,56,3,30,129,9,70,3,3,4,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.3
"88",6,6,57,0,0,50,14,0,17,122,18,5,1,4,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.7
"89",6,7,9,5,0,30,60,10,6,85,6,60,2,8,15,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.6
"90",6,10,24,6,0,30,47,1,11,67,8,12,5,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.6
"91",6,11,14,0,0,26,37,0,4,71,18,12,7,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2
"92",6,12,22,3,0,36,38,1,6,68,2,14,4,4,0,21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8.3
"93",6,13,16,6,0,37,39,3,13,95,13,16,27,8,6,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.5
"94",6,14,1,2,0,17,0,0,2,44,0,5,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8
"95",6,15,10,2,0,9,26,0,1,82,5,25,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8
"96",6,16,24,1,0,39,33,11,5,68,6,5,4,19,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1
"97",6,19,24,3,0,29,40,3,3,52,4,1,1,3,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8
"98",6,20,15,6,9,43,51,8,8,85,1,3,18,3,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9
"99",6,21,35,17,10,34,33,4,7,74,20,31,6,5,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.6
"100",6,22,25,5,3,17,8,5,20,46,6,28,3,5,3,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9
"101",6,23,3,3,4,45,37,28,8,86,9,27,4,4,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
"102",6,25,41,17,4,36,21,5,6,82,3,30,8,11,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9
"103",6,26,17,4,6,19,13,5,7,67,2,17,5,2,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"104",7,1,16,3,5,21,22,5,5,58,8,25,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.4
"105",7,2,13,4,4,48,34,6,0,31,7,39,3,3,35,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.3
"106",7,5,38,2,23,56,59,3,12,85,16,10,8,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.8
"107",7,6,16,5,26,14,27,5,19,59,8,24,5,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2
"108",7,11,28,26,23,38,50,14,15,130,12,69,13,11,25,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9
"109",7,14,51,0,3,19,24,12,9,37,14,18,3,8,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7
"110",7,15,14,1,8,26,32,9,7,42,12,36,10,6,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5
"111",7,16,37,9,16,24,23,1,13,73,17,24,3,6,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.4
"112",7,17,2,0,0,4,6,1,4,75,2,8,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,9.3
"113",7,18,29,1,0,41,38,3,13,57,1,36,1,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5
"114",7,20,12,4,8,10,10,5,4,68,5,8,2,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8
"115",7,21,4,1,3,13,23,0,6,82,6,15,2,6,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9
"116",7,22,24,12,3,16,18,3,11,116,6,20,18,3,5,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.7
"117",7,24,26,11,5,73,28,6,20,0,4,11,5,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7
"118",7,25,26,11,27,44,90,17,14,0,22,32,20,11,13,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.8
"119",8,1,50,6,4,28,33,5,8,0,4,23,10,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2
"120",8,2,72,14,7,21,39,3,24,0,7,33,7,4,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2
"121",8,4,61,7,9,26,22,3,4,0,9,10,3,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.1
"122",8,5,34,4,9,18,25,12,9,0,7,24,7,3,7,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6
"123",8,8,45,1,11,26,16,4,15,0,18,18,6,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
"124",8,10,75,2,10,23,40,10,9,0,9,0,7,6,6,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"125",8,11,36,1,10,34,17,2,15,0,17,0,3,6,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.9
"126",8,17,28,9,4,53,28,9,8,0,6,10,2,17,18,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.8
"127",8,21,53,7,5,16,19,13,9,0,7,29,10,30,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1
"128",8,24,49,20,15,27,31,4,3,0,11,22,5,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.8
"129",9,1,33,16,3,42,21,2,7,0,9,19,1,1,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7
"130",9,4,43,5,11,40,60,0,17,0,14,29,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9
"131",9,8,0,52,6,57,29,0,16,0,22,17,12,0,8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8
"132",9,17,5,8,1,51,6,0,12,0,11,21,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5
"133",9,18,11,32,12,37,31,0,9,0,29,42,6,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"134",9,21,68,30,11,54,63,0,13,0,19,30,4,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.9
"135",9,22,44,39,30,87,89,0,30,0,28,34,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.3
"136",9,24,31,23,19,76,73,12,31,2,18,45,17,15,13,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.7
